Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location,Number of Bars
902501023,2015-08-06,Weekday,1400,2-Car,No injury/unknown,UNSAFE BACKING,3RD,39.164728,-86.57239,"39.164728,-86.57239",5
902501028,2015-08-01,Weekend,1200,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,GORDON & OLD STATE ROAD 37,39.121552,-86.531296,"39.121552,-86.531296",0
902501041,2015-08-01,Weekend,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,DUNN & SR46W,39.186352,-86.528496,"39.186352,-86.528496",3
902501050,2015-08-01,Weekend,1400,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,7TH & JORDAN,39.168944,-86.516016,"39.168944,-86.516016",18
902501061,2015-08-01,Weekend,1200,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,RATLIFF & THOMAS,38.8975569,-86.63040988,"38.8975569,-86.63040988",0
902501069,2015-08-01,Weekend,1300,1-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,LANAM & RUSSELL,39.1946999,-86.48918741,"39.1946999,-86.48918741",0
902501119,2015-08-07,Weekend,2000,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,3RD & N WALNUT,39.16464,-86.5336,"39.16464,-86.5336",42
902501150,2015-08-01,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,10TH & GRANT,39.171696,-86.529696,"39.171696,-86.529696",40
902501171,2015-08-01,Weekday,1900,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,EAST 10TH & PETE ELLIS,39.171504,-86.495312,"39.171504,-86.495312",5
902501189,2015-08-01,Weekend,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & WALNUT,39.16464,-86.5336,"39.16464,-86.5336",42
902501201,2015-08-01,Weekend,1300,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,3RD & HIGH,39.164352,-86.508288,"39.164352,-86.508288",6
902501216,2015-08-01,Weekday,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,8TH & ROGERS,39.169584,-86.538576,"39.169584,-86.538576",42
902501273,2015-08-01,Weekday,2100,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,FRITZ & N WALNUT,39.191248,-86.532896,"39.191248,-86.532896",1
902501296,2015-08-01,Weekday,2100,3+ Cars,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,SR37S & TAPP,39.13704,-86.572896,"39.13704,-86.572896",1
902501355,2015-08-01,Weekend,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,10TH & SR46E,39.171648,-86.502096,"39.171648,-86.502096",5
902501436,2015-08-02,Weekday,800,2-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,E 3RD,39.16424,-86.49224392,"39.16424,-86.49224392",6
902501513,2015-08-02,Weekday,1000,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,6TH & ROGERS,39.16768,-86.538592,"39.16768,-86.538592",42
902501670,2015-08-02,Weekday,900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,S COLLEGE,39.16115717,-86.53485253,"39.16115717,-86.53485253",42
902501707,2015-08-02,Weekday,1100,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR37N & W VERNAL,39.176544,-86.5624,"39.176544,-86.5624",3
902501974,2015-08-02,Weekday,1500,3+ Cars,Non-incapacitating,FOLLOWING TOO CLOSELY,S CORY & W 3RD,39.164544,-86.560096,"39.164544,-86.560096",4
902501989,2015-08-07,Weekend,1300,2-Car,No injury/unknown,OVERCORRECTING/OVERSTEERING,N MORTON,39.16786971,-86.536,"39.16786971,-86.536",42
902502011,2015-08-02,Weekday,1600,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,17TH & ARLINGTON PARK,39.17911023,-86.5540903,"39.17911023,-86.5540903",5
902502033,2015-08-02,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,BLOOMFIELD & OAKDALE,39.1487068,-86.57121991,"39.1487068,-86.57121991",1
902502080,2015-08-02,Weekday,300,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,JOHN YOUNG & SHILO,39.26518382,-86.43351561,"39.26518382,-86.43351561",0
902502090,2015-08-02,Weekday,2200,3+ Cars,No injury/unknown,IMPROPER TURNING,EAST 3RD & SOUTH BALLANTINE,39.16427024,-86.51912972,"39.16427024,-86.51912972",36
902502148,2015-08-06,Weekday,900,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,3RD & WALNUT,39.16464,-86.5336,"39.16464,-86.5336",42
902502280,2015-08-05,Weekday,800,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,HARTSTRAIT & VERNAL,39.18676995,-86.6112703,"39.18676995,-86.6112703",0
902502281,2015-08-05,Weekday,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SIMPSON CHAPEL & SR37N,39.280496,-86.522864,"39.280496,-86.522864",0
902502524,2015-08-03,Weekday,1600,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,CONSTITUTION & LIBERTY,39.149552,-86.575936,"39.149552,-86.575936",1
902502697,2015-08-02,Weekday,500,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,ISON & SR45W,39.10810089,-86.63700103,"39.10810089,-86.63700103",0
902502698,2015-08-04,Weekday,0,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,PINEHURST & SOUTHER PINES,39.13851969,-86.54742971,"39.13851969,-86.54742971",0
902502993,2015-08-04,Weekday,1300,2-Car,No injury/unknown,IMPROPER TURNING,E KIRKWOOD,39.16678078,-86.52203053,"39.16678078,-86.52203053",42
902503132,2015-08-02,Weekday,1500,2-Car,No injury/unknown,SPEED TOO FAST FOR WEATHER CONDITIONS,SR37S & W FULLERTON,39.122352,-86.5712,"39.122352,-86.5712",0
902503275,2015-08-04,Weekday,1500,1-Car,No injury/unknown,UNSAFE BACKING,E 7TH,39.168144,-86.510992,"39.168144,-86.510992",8
902503312,2015-08-04,Weekday,1300,2-Car,Non-incapacitating,UNSAFE LANE MOVEMENT,N WALNUT & W 14TH,39.175952,-86.53344,"39.175952,-86.53344",39
902503316,2015-08-04,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,E 13TH,39.17521746,-86.52061527,"39.17521746,-86.52061527",39
902503325,2015-08-04,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,7TH & UNION,39.16816257,-86.51001745,"39.16816257,-86.51001745",5
902503379,2015-08-04,Weekday,1900,2-Car,No injury/unknown,UNSAFE SPEED,10TH & SR4546,39.176848,-86.478192,"39.176848,-86.478192",1
902503387,2015-08-04,Weekday,2000,2-Car,No injury/unknown,UNSAFE BACKING,EAST 7TH,39.168752,-86.5436,"39.168752,-86.5436",42
902503398,2015-08-04,Weekday,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,ATWATER & INDIANA,39.16323021,-86.52783013,"39.16323021,-86.52783013",43
902503404,2015-08-04,Weekday,1700,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,PROFILE & SR48W,39.1647376,-86.5925978,"39.1647376,-86.5925978",2
902503413,2015-08-04,Weekday,1400,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,SR37 & WEST 3RD,39.164752,-86.573104,"39.164752,-86.573104",5
902503445,2015-08-04,Weekday,2300,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S WALNUT,39.16037061,-86.5336,"39.16037061,-86.5336",42
902503495,2015-08-03,Weekday,2000,Moped/Motorcycle,Non-incapacitating,RAN OFF ROAD RIGHT,FAIRFAX & THIRD,39.1858669,-86.51451028,"39.1858669,-86.51451028",0
902503502,2015-08-04,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,13TH & WALNUT,39.175232,-86.520976,"39.175232,-86.520976",39
